Group G,Serbia,FW,Dušan Vlahović,Juventus,Italy,15,7,2,1267,0,0.639,0
Group H,Portugal,FW,Ricardo Horta,Braga,Portugal,21,7,6,1836,0,0.637,0
Group G,Serbia,FW,Nemanja Radonjić,Torino,Italy,16,4,2,851,0,0.635,0
Group F,Canada,MF,Jonathan Osorio,Toronto FC,Canada,26,9,4,1852,0,0.632,0
Group E,Spain,FW,Nico Williams,Athletic Bilbao,Spain,15,4,4,1141,0,0.631,0
Group E,Japan,MF,Takumi Minamino,Monaco,France,14,1,3,571,0,0.63,0
Group G,Brazil,FW,Raphinha,Barcelona,Spain,18,2,4,865,0,0.624,0
Group A,Qatar,FW,Mohammed Muntari,Al-Duhail,Qatar,169,52,9,8840,0,0.621,0
Group H,Ghana,MF,Kamaldeen Sulemana,Rennes,France,14,1,2,442,0,0.611,0
Group D,Denmark,MF,Jesper Lindstrøm,Eintracht Frankfurt,Germany,22,8,2,1489,0,0.604,0
Group D,Tunisia,FW,Taha Yassine Khenissi,Kuwait SC,Kuwait,269,92,25,17441,0,0.604,0
Group A,Netherlands,MF,Kenneth Taylor,Ajax,Netherlands,19,5,4,1345,0,0.602,0
Group A,Senegal,FW,Ismaïla Sarr,Watford,England,17,6,3,1365,0,0.593,0
Group A,Senegal,FW,Iliman Ndiaye,Sheffield United,England,21,9,2,1680,0,0.589,0
Group G,Brazil,FW,Antony,Manchester United,England,14,5,2,1087,0,0.58,0
Group D,Australia,FW,Martin Boyle,Hibernian,Scotland,12,5,1,936,0,0.577,0
Group F,Morocco,FW,Abde Ezzalzouli,Osasuna,Spain,8,0,2,312,0,0.577,0
Group C,Argentina,DF,Juan Foyth,Villarreal,Spain,6,0,2,314,0,0.573,0
Group B,Iran,DF,Hossein Kanaanizadegan,Al-Ahli Doha,Qatar,7,4,0,630,0,0.571,0
Group B,United States,FW,Timothy Weah,Lille,France,6,0,2,315,0,0.571,0
Group G,Serbia,FW,Luka Jović,Fiorentina,Italy,22,7,0,1104,0,0.571,0
Group F,Morocco,MF,Selim Amallah,Standard Liège,Belgium,9,4,1,793,0,0.567,0
Group G,Brazil,FW,Richarlison,Tottenham Hotspur,England,15,2,3,794,0,0.567,0
Group A,Qatar,MF,Hassan Al-Haydos,Al-Sadd,Qatar,304,89,53,22627,0,0.565,0
Group B,England,MF,Jude Bellingham,Borussia Dortmund,Germany,22,9,3,1918,0,0.563,0
Group H,South Korea,MF,Jung Woo-young,Al-Sadd,Qatar,20,2,3,803,0,0.56,0
Group H,South Korea,MF,Jeong Woo-yeong,SC Freiburg,Germany,20,2,3,803,0,0.56,0
Group E,Japan,FW,Ayase Ueda,Cercle Brugge,Belgium,18,8,0,1290,0,0.558,0
Group D,Tunisia,FW,Issam Jebali,OB,Denmark,14,4,3,1137,0,0.554,0
Group B,Iran,FW,Sardar Azmoun,Bayer Leverkusen,Germany,11,0,2,328,0,0.549,0
Group A,Ecuador,FW,Djorkaeff Reasco,Newell's Old Boys,Argentina,21,2,3,821,0,0.548,0
Group B,United States,MF,Cristian Roldan,Seattle Sounders FC,United States,34,5,12,2796,0,0.547,0
Group D,Australia,DF,Nathaniel Atkinson,Heart of Midlothian,Scotland,13,2,2,665,0,0.541,0
Group A,Qatar,FW,Ahmed Alaaeldin,Al-Gharafa,Qatar,181,41,23,10722,0,0.537,0
Group E,Japan,MF,Junya Ito,Reims,France,13,4,2,1006,0,0.537,0
Group G,Cameroon,MF,André-Frank Zambo Anguissa,Napoli,Italy,18,3,6,1507,0,0.537,0
